"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-09-12","95.7","-3.41","5.29","Scherzer, Max",665487,453286,"field_out","hit_into_play",,,,,"5","Fernando Tatis flies out to right fielder Mookie Betts.","R","R","R","LAD","SD","X","9","fly_ball","0","1",2021,"-0.9","1.44","0.27","2.36",,,,"0","8","Top",175.22,81.34,,,"669257",,,11.6684891470626,-138.84550300822556,-5.330241546233511,-14.102864549683948,29.317405399785716,-12.45621382174275,"3.49","1.6","316","98.9","46","95.5","2708","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.28","0.029","0.05","0","1","0","0","3","54","2","4-Seam Fastball","6","0","0","6","0","6","0","6","Infield shift","Standard","223","0.003","-0.203"
"CU","2021-09-12","77.6","-3.27","5.43","Scherzer, Max",665487,453286,,"swinging_strike",,,,,"14","Fernando Tatis flies out to right fielder Mookie Betts.","R","R","R","LAD","SD","S",,,"0","0",2021,"0.95","-0.83","0.78","0.79",,,,"0","8","Top",,,,,"669257",,,6.889876837505335,-112.80429896689147,-1.4010899390774039,6.672808305199559,22.367855101922856,-39.205934767708456,"3.49","1.6",,,,"77.1","2782","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.31",,,,,,,,"54","1","Curveball","6","0","0","6","0","6","0","6","Infield shift","Standard","45","0","-0.038"
"CH","2021-09-12","86.6","-3.39","5.2","Scherzer, Max",592518,453286,"field_out","hit_into_play",,,,,"5","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","X","1","ground_ball","3","2",2021,"-1.22","0.07","-0.15","2.40",,,,"2","7","Top",130.96,174.25,,,"669257",,,10.252562686844284,-125.83898444761346,-0.7078993394288564,-14.902480453756693,21.665315634790247,-31.452306042750305,"3.49","1.6","2","54.0","-52","87.4","1465","6.5",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","53.98","0.234","0.212","0","1","0","0","1","46","7","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","245","0.013","-0.134"
"SL","2021-09-12","85.9","-3.42","5.27","Scherzer, Max",592518,453286,,"ball",,,,,"14","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","B",,,"2","2",2021,"0.12","0.23","0.34","0.99",,,,"2","7","Top",,,,,"669257",,,8.66299579362977,-124.98186935851763,-4.431911264532869,-0.22491218357745826,21.941533158353668,-29.11086571430712,"3.59","1.6",,,,"86.3","2331","6.3",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.21",,,,,,,,"46","6","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","180","0","0.043"
"SL","2021-09-12","86.8","-3.4","5.43","Scherzer, Max",592518,453286,,"ball",,,,,"14","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","B",,,"1","2",2021,"0.21","0.51","1.17","-0.03",,,,"2","7","Top",,,,,"669257",,,10.46019458590676,-126.02271999931266,-7.956570516424588,0.4365569890363717,21.909899554587497,-25.406668120196663,"3.66","1.6",,,,"87","2206","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.28",,,,,,,,"46","5","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","216","0","0.018"
"FF","2021-09-12","96.8","-3.43","5.11","Scherzer, Max",592518,453286,,"foul",,,,,"1","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","S",,,"1","2",2021,"-0.75","1.24","-0.78","2.98",,,,"2","7","Top",,,,,"669257",,,8.74648250505028,-140.7918226915678,-3.011032665881268,-11.795136498235031,28.938968443534943,-15.169530018464739,"3.49","1.6","239","74.2","35","97.1","2564","6.3",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.23",,,,,,,,"46","4","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0","0"
"CU","2021-09-12","78.3","-3.18","5.45","Scherzer, Max",592518,453286,,"foul",,,,,"8","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","S",,,"1","1",2021,"1.07","-0.93","-0.24","1.89",,,,"2","7","Top",,,,,"669257",,,4.384506401527838,-113.96325696380356,0.8412355430991814,8.6146478276918,19.942592903243465,-40.66547980542354,"3.49","1.6","360","113.0","18","78.4","2697","6.3",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.23",,,,,,,,"46","3","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","48","0","-0.027"
"FF","2021-09-12","94.6","-3.54","5.28","Scherzer, Max",592518,453286,,"ball",,,,,"11","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","B",,,"0","1",2021,"-0.99","1.24","-1.72","3.40",,,,"2","7","Top",,,,,"669257",,,6.947378516552575,-137.79735612206966,-2.0634990622304823,-14.106208406358999,26.474744456255685,-15.99030971446536,"3.64","1.6",,,,"95","2474","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.34",,,,,,,,"46","2","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0","0.014"
"FF","2021-09-12","95.9","-3.3","5.47","Scherzer, Max",592518,453286,,"called_strike",,,,,"9","Manny Machado grounds out softly, pitcher Max Scherzer to first baseman Max Muncy.","R","R","R","LAD","SD","S",,,"0","0",2021,"-0.88","1.37","0.65","1.80",,,,"2","7","Top",,,,,"669257",,,12.361241525000022,-139.0591408892559,-7.180430657902114,-14.082080015602752,29.416579599251477,-12.851878793499838,"3.72","1.6",,,,"95.6","2442","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.3",,,,,,,,"46","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","220","0","-0.018"
"FF","2021-09-12","94.8","-3.21","5.43","Scherzer, Max",624428,453286,"field_out","hit_into_play",,,,,"4","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","X","7","fly_ball","3","2",2021,"-1.05","1.33","-0.31","2.36",,,,"1","7","Top",55.24,118.58,,,"669257",,,9.865408149616407,-137.8434836940589,-5.388256008900938,-15.428811009567323,26.52161265465423,-14.078423046390796,"3.3","1.5","265","79.5","35","95","2449","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.33","0.049","0.047","0","1","0","0","3","45","6","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0.023","-0.212"
"FC","2021-09-12","91.1","-3.49","5.32","Scherzer, Max",624428,453286,,"swinging_strike",,,,,"1","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","S",,,"3","1",2021,"-0.4","0.88","-0.37","2.79",,,,"1","7","Top",,,,,"669257",,,8.674078482830238,-132.62049878681188,-2.4436003472154195,-6.290693222261255,23.158612703904954,-21.331267943636682,"3.3","1.5",,,,"91.6","2499","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.32",,,,,,,,"45","5","Cutter","2","0","0","2","0","2","0","2","Infield shift","Standard","206","0","-0.065"
"FF","2021-09-12","94.0","-3.36","5.54","Scherzer, Max",624428,453286,,"called_strike",,,,,"1","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","S",,,"3","0",2021,"-1.02","1.45","-0.35","2.56",,,,"1","7","Top",,,,,"669257",,,10.017423947044344,-136.52603638841188,-5.244626817014927,-14.879519063662043,26.50790285955066,-13.038049818777022,"3","1.5",,,,"94.1","2447","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.32",,,,,,,,"45","4","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","222","0","-0.049"
"FF","2021-09-12","94.5","-3.21","5.65","Scherzer, Max",624428,453286,,"ball",,,,,"12","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","B",,,"2","0",2021,"-0.91","1.43","0.49","3.42",,,,"1","7","Top",,,,,"669257",,,11.589316577845043,-137.1740929210471,-3.3185356106687687,-13.956768117421054,28.023112872193376,-13.467881505388675,"3.02","1.5",,,,"94.2","2494","6.1",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.43",,,,,,,,"45","3","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","217","0","0.088"
"CU","2021-09-12","76.3","-3.35","5.72","Scherzer, Max",624428,453286,,"ball",,,,,"14","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","B",,,"1","0",2021,"0.94","-0.87","0.47","1.27",,,,"1","7","Top",,,,,"669257",,,6.309385403866608,-111.02028667361813,-0.721448086557932,6.599423888487937,20.76295235296556,-39.461681805707556,"3.13","1.5",,,,"76","2688","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.31",,,,,,,,"45","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","45","0","0.05"
"FF","2021-09-12","93.0","-3.27","5.5","Scherzer, Max",624428,453286,,"ball",,,,,"6","Adam Frazier flies out to left fielder Gavin Lux.","R","L","R","LAD","SD","B",,,"0","0",2021,"-1.08","1.19","0.83","2.23",,,,"1","7","Top",,,,,"669257",,,12.758981236951474,-134.82133827545763,-5.201034811593083,-15.750470197090548,26.289168267083564,-16.608496030416585,"3.02","1.37",,,,"92.6","2466","6",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.47",,,,,,,,"45","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","228","0","0.026"
"FC","2021-09-12","90.0","-3.33","5.48","Scherzer, Max",663757,453286,"field_out","hit_into_play",,,,,"2","Trent Grisham flies out to right fielder Mookie Betts.","R","L","R","LAD","SD","X","9","fly_ball","0","0",2021,"-0.14","0.82","-0.02","3.06",,,,"0","7","Top",184.47,67.74,,,"669257",,,8.494149636710123,-130.96279667031368,-1.8795253171976896,-3.104891879431281,22.57055990290828,-22.462788269301022,"3.32","1.51","355","99.4","40","90.4","2468","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.35","0.111","0.2","0","1","0","0","3","44","1","Cutter","2","0","0","2","0","2","0","2","Infield shift","Standard","215","0.033","-0.241"
"FF","2021-09-12","96.1","-3.34","5.29","Scherzer, Max",545350,453286,"strikeout","swinging_strike",,,,,"1","Jake Marisnick strikes out swinging.","R","R","R","LAD","SD","S","2",,"1","2",2021,"-0.96","1.23","-0.37","3.38",,,,"2","6","Top",,,,,"669257",,,10.002584515097235,-139.69988184988938,-2.260337810987599,-14.684941851608528,29.37107857109384,-15.736571664026064,"3.55","1.63",,,,"96.2","2426","6.3",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.25",,,"0","1","0","0",,"40","4","4-Seam Fastball","2","0","0","2","0","2","0","2","Standard","Standard","224","0.012","-0.073"
"FF","2021-09-12","96.7","-3.32","5.36","Scherzer, Max",545350,453286,,"swinging_strike",,,,,"5","Jake Marisnick strikes out swinging.","R","R","R","LAD","SD","S",,,"1","1",2021,"-1.08","1.3","-0.09","2.47",,,,"2","6","Top",,,,,"669257",,,11.032158002377345,-140.31776289055534,-5.087147886635191,-16.765888073240713,30.332783289984317,-13.953260422532614,"3.55","1.63",,,,"96.4","2465","6.2",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.3",,,,,,,,"40","3","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0","-0.027"
"SL","2021-09-12","86.2","-3.37","5.44","Scherzer, Max",545350,453286,,"ball",,,,,"14","Jake Marisnick strikes out swinging.","R","R","R","LAD","SD","B",,,"0","1",2021,"0.19","0.35","0.56","0.61",,,,"2","6","Top",,,,,"669257",,,8.908952001711388,-125.29562180336607,-6.033511447725658,0.5788104799030138,20.845624021771204,-27.587481558581796,"3.54","1.63",,,,"86.4","2216","6.1",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.42",,,,,,,,"40","2","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","197","0","0.014"
"SL","2021-09-12","84.1","-3.41","5.63","Scherzer, Max",545350,453286,,"swinging_strike",,,,,"6","Jake Marisnick strikes out swinging.","R","R","R","LAD","SD","S",,,"0","0",2021,"0.25","0.35","0.48","2.64",,,,"2","6","Top",,,,,"669257",,,8.467163354520745,-122.36081787039471,-1.2761855561445767,0.9596268208299774,22.227049724123958,-28.619610815516193,"3.55","1.63",,,,"83.9","2204","6",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.52",,,,,,,,"40","1","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","181","0","-0.018"
"FF","2021-09-12","93.7","-3.22","5.68","Scherzer, Max",543592,453286,"field_out","hit_into_play",,,,,"3","Austin Nola pops out to catcher Will Smith in foul territory.","R","R","R","LAD","SD","X","2","popup","1","1",2021,"-0.9","1.34","0.35","3.36",,,,"1","6","Top",145.27,216.45,,,"669257",,,11.148144882786696,-136.05761102504724,-3.262578253648597,-13.42231791943573,25.959347910458632,-14.825495060572008,"3.37","1.53","55","80.5","83","93.6","2509","6.1",632568,453286,"669257","571970","607208","457759","608369","666158","641355","605141","54.41","0.003","0.003","0","1","0","0","3","39","3","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","213","0.021","-0.157"
